Key,Title,Category,Frame,Icon,Description
"blazeandcave:animal/going_down_the_rabbit_hole","Going Down the Rabbit Hole","animal","goal","rabbit_hide","Bring a rabbit to the bottom of the world, then kill it"
"blazeandcave:nether/glowstone_miner","Glowstone Miner","nether","goal","glowstone","Mine or craft a stack of glowstone blocks"
"blazeandcave:enchanting/scuba_gear","Scuba Gear","enchanting","goal","water_bucket","Obtain every water related enchantment"
"blazeandcave:nether/moar_upgraded_tools","MOAR Upgraded Tools","nether","goal","netherite_pickaxe","Craft a Netherite Pickaxe, Axe, Shovel and Hoe"
"blazeandcave:mining/fossil_fuel","Fossil Fuel","mining","task","coal","Coal! As in dead dinosaurs!"
"blazeandcave:adventure/mapmaker","Mapmaker","adventure","task","map","Craft or trade an empty map"
"blazeandcave:biomes/wet_feet","Wet Feet","biomes","goal","water_bucket","Discover every water biome"
"blazeandcave:enchanting/shotbow","Shotbow","enchanting","goal","arrow","Shoot three arrows at once with a crossbow"
"blazeandcave:challenges/stack_all_the_blocks","Stack All the Blocks!","challenges","challenge","prismarine_bricks","Obtain a stack of all the blocks!"
"minecraft:husbandry/obtain_sniffer_egg","Lifeâ€¦ uhhâ€¦ finds a way","husbandry","task","sniffer_egg","Find a strange egg among the sand of an Ocean Ruin using a Brush. Smells interesting"
"blazeandcave:monsters/creeper_killer","Creeper Killer","monsters","goal","creeper_spawn_egg","Collect a stack of gunpowder"
"blazeandcave:statistics/i_like_trains","I Like Trains","statistics","goal","furnace_minecart","Ride 10km in a minecart"
"minecraft:husbandry/allay_deliver_item_to_player","Youâ€™ve Got a Friend in Me","husbandry","task","cookie","Have an Allay deliver items to you"
"blazeandcave:animal/frog_family","Frog Family","animal","task","frogspawn","Breed two Frogs together using slimeballs"
"blazeandcave:end/event_horizon","Event Horizon","end","challenge","ender_eye","Survive void damage"
"blazeandcave:mining/galileo_figaro","Galileo Figaro","mining","task","spyglass","Zoom in on something using a Spyglass"
"blazeandcave:enchanting/boomerang","Boomerang","enchanting","goal","trident","Turn your trident into a boomerang by getting Loyalty on it"
"blazeandcave:building/its_a_trap","It's a Trap!","building","task","oak_trapdoor","Craft and place down a trapdoor"
"blazeandcave:end/dragon_vs_dragon","Dragon vs Dragon","end","goal","dragon_breath","Kill the Ender Dragon while wearing a Dragon Head"
"blazeandcave:mining/flint_miner","Flint Miner","mining","goal","flint","Mine a stack of flint"
"blazeandcave:animal/pork_chop","Pork Chop","animal","task","cooked_porkchop","You know kung fu, how about pork chop?"
"blazeandcave:nether/holy_scrap","Holy Scrap!","nether","task","netherite_scrap","Smelt Ancient Debris into Netherite Scrap"
"blazeandcave:potion/root","Potions","potion","task","potion","Brewing potions with helpful and hindering effects"
"blazeandcave:mining/emerald_miner","Emerald Miner","mining","challenge","emerald_ore","Mine a stack of raw emerald ore"
"minecraft:adventure/play_jukebox_in_meadows","The Sound of Music","adventure","goal","azure_bluet","Make the Meadows come alive with the sound of music from a jukebox"
"minecraft:adventure/spyglass_at_dragon","Is it a Plane?","adventure","task","spyglass","Look at the Ender Dragon through a Spyglass"
"blazeandcave:statistics/olympic_gold_medallist","Olympic Gold Medallist","statistics","challenge","gold_block","Swim 50km"
"blazeandcave:statistics/out_for_a_stroll","Out for a stroll","statistics","task","leather_boots","Walk 10km"
"minecraft:husbandry/break_diamond_hoe","Serious Dedication","husbandry","challenge","diamond_hoe","Completely use up a diamond hoe, and then reevaluate your life choices"
"blazeandcave:nether/et_tu_brute","Et tu, Brute?","nether","task","iron_chain","Get murdered by Piglin Brutes"
"blazeandcave:redstone/solar_power","Solar Power","redstone","task","daylight_detector","Craft a daylight sensor"
"blazeandcave:statistics/overpopulation","Overpopulation","statistics","challenge","chicken","Breed 2500 animals"
"minecraft:adventure/kill_all_mobs","Monsters Hunted","adventure","challenge","diamond_sword","Kill one of every hostile monster"
"minecraft:adventure/shoot_arrow","Take Aim","adventure","task","bow","Shoot something with a bow and arrow"
"blazeandcave:nether/soul_runnings","Soul Runnings!","nether","goal","netherite_boots","Step on Soul Sand with Netherite Boots enchanted with Soul Speed III"
"blazeandcave:mining/gi_geode","G.I. Geode","mining","task","amethyst_cluster","Find an Amethyst Geode and mine an Amethyst Cluster"
"blazeandcave:nether/dark_ages","Dark Ages","nether","task","blackstone","Mine Blackstone from a Basalt Deltas biome"
"blazeandcave:adventure/sound_the_alarm","Sound the Alarm!","adventure","task","bell","Ring the bell with a hostile enemy in the village"
"blazeandcave:weaponry/snowball_fight","Snowball Fight","weaponry","task","snowball","The spirit of Christmas... quickly drowned out by a battle"
"blazeandcave:challenges/dragon_army","Dragon Army","challenges","challenge","dragon_head","Obtain a stack of Ender Dragon Heads"
"minecraft:story/upgrade_tools","Getting an Upgrade","story","task","stone_pickaxe","Construct a better pickaxe"
"blazeandcave:animal/honey_im_home","Honey, I'm Home!","animal","goal","honeycomb_block","Craft a stack of honeycomb blocks for building a home out of"
"blazeandcave:weaponry/time_to_hunt","Time to Hunt!","weaponry","task","wooden_spear","Use planks and sticks to make a spear"
"blazeandcave:bacap/statistics_milestone","Statistics Milestone","bacap","goal","writable_book","Complete every advancement in the Statistics tab"
"blazeandcave:nether/when_piglins_fly","When Piglins Fly","nether","goal","elytra","Give a piglin elytra then kill it"
"minecraft:husbandry/balanced_diet","A Balanced Diet","husbandry","challenge","apple","Eat everything that is edible, even if it's not good for you"
"minecraft:adventure/arbalistic","Arbalistic","adventure","challenge","spectral_arrow","Kill five unique mobs with one crossbow shot"
"blazeandcave:building/i_dont_like_sand","I don't like sand","building","task","sand","It's coarse, and rough, and irritating, and it gets everywhere"
"blazeandcave:biomes/high_feet","High Feet","biomes","goal","stone","Discover every mountain biome"
"blazeandcave:adventure/florist","Florist","adventure","task","cornflower","Trade for a flower from the Wandering Trader"
"blazeandcave:animal/piglets_big_advancement","Piglet's BIG Advancement","animal","task","potato","Breed two pigs to get this little piggy"
"blazeandcave:monsters/ooh_baby","Ooh, Baby!","monsters","task","paper","Kill a baby zombie"
"blazeandcave:farming/shrooms","Shrooms","farming","task","red_mushroom","Gather both types of mushroom"
"blazeandcave:animal/foal_play","Foal Play","animal","task","golden_apple","Breed a horse in an effort to get a better one"
"blazeandcave:animal/nest_quick","Nest, Quick!","animal","challenge","bee_spawn_egg","Collect a stack of empty bee nests"
"blazeandcave:building/camping_out","Camping Out","building","task","campfire","Craft and place a campfire using some logs, sticks and coal"
"blazeandcave:mining/master_copper_miner","Master Copper Miner","mining","goal","copper_block","Mine enough copper to make a stack of Copper Blocks"
"blazeandcave:bacap/enchanting_milestone","Enchanting Milestone","bacap","goal","enchanting_table","Complete every advancement in the Enchanting tab"
"blazeandcave:bacap/weaponry_milestone","Weaponry Milestone","bacap","goal","stone_sword","Complete every advancement in the Weaponry tab"
"blazeandcave:monsters/dungeon_crawler","Dungeon Crawler","monsters","goal","stone_bricks","Defeat all kinds of mobs from special structures"
"blazeandcave:biomes/pushed_around","Pushed Around","biomes","task","magma_block","Enter a bubble column"
"blazeandcave:weaponry/its_time_consuming","It's time consuming","weaponry","task","clock","Kill something using a clock"
"minecraft:nether/find_fortress","A Terrible Fortress","nether","task","nether_bricks","Break your way into a Nether Fortress"
"blazeandcave:enchanting/overkill","Overkill","enchanting","goal","diamond_sword","Deal eight hearts of damage in a single melee blow without using a Mace or a Spear's charge attack"
"blazeandcave:mining/diamonds_to_you","Diamonds to you!","mining","task","diamond","Throw diamonds at another player or mob"
"blazeandcave:animal/foxy_thievery","Foxy Thievery","animal","goal","totem_of_undying","Give a fox a Totem of Undying"
"blazeandcave:enchanting/master_macerator","Master Macerator","enchanting","challenge","mace","Create a mace with all possible enchantments at max level"
"blazeandcave:nether/ghast_slayer","Ghast Slayer","nether","goal","ghast_spawn_egg","Collect a stack of ghast tears"
"blazeandcave:monsters/blind_stare","Blind Stare","monsters","task","spyglass","Look at a Warden with a Spyglass"
"minecraft:adventure/whos_the_pillager_now","Who's the Pillager Now?","adventure","task","player_head","Give a Pillager a taste of their own medicine"
"blazeandcave:biomes/a_scute_off_the_old_shell","A Scute Off the Old Shell","biomes","task","nautilus_spawn_egg","Breed two Nautiluses together using fish"
"blazeandcave:end/no_dont_let_me_leave_murph","No! Don't let me leave, Murph!","end","challenge","chorus_plant","Travel so far into the End dimension you might as well be on another planet"
"blazeandcave:bacap/building_milestone","Building Milestone","bacap","goal","oak_planks","Complete every advancement in the Building tab"
"blazeandcave:nether/snow_cone","Snow Cone?","nether","task","snowball","Feed snowballs to a Ghastling"
"minecraft:adventure/use_lodestone","Country Lode, Take Me Home","adventure","task","compass","Use a Compass on a Lodestone"
"blazeandcave:monsters/tele_morph","Tele-Morph","monsters","task","ender_pearl","Damage a mob by teleporting into it"
"blazeandcave:biomes/for_you_my_sweet","For you, my sweet","biomes","task","poppy","Pick a flower for someone special"
"blazeandcave:statistics/big_spender","Big Spender","statistics","goal","emerald_block","Trade with villagers 500 times"
"blazeandcave:enchanting/master_digger","Master Digger","enchanting","challenge","diamond_shovel","Create a shovel with all possible enchantments at max level"
"minecraft:nether/obtain_crying_obsidian","Who is Cutting Onions?","nether","task","crying_obsidian","Obtain Crying Obsidian from a ruined portal or bartering with Piglins"
"blazeandcave:monsters/the_undead_cavalry","The Undead Cavalry","monsters","goal","skeleton_horse_spawn_egg","Ride a Skeleton Horse"
"blazeandcave:nether/fire_blast_shield","Fire Blast Shield","nether","task","shield","Block the explosion of a ghast's fireball"
"blazeandcave:monsters/camouflage","Camouflage","monsters","challenge","wither_skeleton_skull","Kill a mob while wearing the same type of mob head"
"blazeandcave:animal/turtle_army","Turtle Army","animal","goal","turtle_spawn_egg","Collect a stack of Turtle Scutes"
"blazeandcave:end/cow_jumped_over_the_moon","Cow Jumped Over The Moon","end","challenge","beef","Bring a cow from the Overworld to the End and then kill it"
"blazeandcave:redstone/moving_parts","Moving Parts","redstone","task","piston","Craft a piston so you can push things"
"minecraft:story/enter_the_nether","We Need to Go Deeper","story","goal","flint_and_steel","Build, light and enter a Nether Portal"
"blazeandcave:monsters/poison_dart","Poison Dart","monsters","task","tipped_arrow","Shoot a mob with a Tipped Arrow of Poison"
"blazeandcave:adventure/chromatic_armory","Chromatic Armory","adventure","goal","netherite_chestplate","Trim pieces of armor with all types of materials"
"blazeandcave:mining/lodes_of_applications","Lodes of Applications","mining","goal","end_stone","Create a Lodestone Compass in all three dimensions"
"blazeandcave:redstone/target_acquired","Target Acquired","redstone","task","target","Put up a Target for archery practise"
"blazeandcave:bacap/time_to_mine","Time to Mine!","bacap","task","wooden_pickaxe","Use planks and sticks to make a pickaxe"
"blazeandcave:building/let_there_be_light","Let There Be Light!","building","challenge","soul_lantern","Hold a stack of every light-emitting block and item"
"blazeandcave:monsters/well_handle_this","We'll handle this","monsters","challenge","netherrack","Lure a Phantom into the Nether and then kill it"
"blazeandcave:bacap/time_to_farm","Time to Farm!","bacap","task","wooden_hoe","Use planks and sticks to make a hoe"
"blazeandcave:bacap/getting_wood","Getting Wood","bacap","task","oak_log","Attack a tree until a block of wood pops out"
"blazeandcave:monsters/bone_to_party","Bone-to-party","monsters","challenge","player_head","Reunite all skeleton variants and their three-headed overlord in one place"
"blazeandcave:weaponry/hit_and_run","Hit and Run","weaponry","goal","minecart","Kill a mob using the charge attack of a Spear while riding a high-speed Minecart"
"blazeandcave:animal/winnie_the_pooh","Winnie the Pooh","animal","task","honey_bottle","Drink some honey"
"blazeandcave:building/torched","Torched!","building","task","torch","Light up the area with some torches"
"minecraft:nether/distract_piglin","Oh, Shiny!","nether","task","gold_ingot","Distract Piglins with gold"
"blazeandcave:nether/when_hoglins_breed","When Hoglins Breed","nether","task","crimson_fungus","Breed a baby Hoglin using Crimson Fungi"
"blazeandcave:adventure/its_so_beast_like","It's So Beast-Like!","adventure","goal","saddle","Slay a Ravager in a raid"
"blazeandcave:redstone/powerful_light","Powerful Light","redstone","task","redstone_torch","Craft and place a redstone torch"
"blazeandcave:enchanting/armor_for_the_masses","Armor for the masses","enchanting","goal","iron_chestplate","Obtain every protection related enchantment"
"minecraft:adventure/throw_trident","A Throwaway Joke","adventure","task","trident","Throw a trident at something. Note: Throwing away your only weapon is not a good idea"
"blazeandcave:biomes/kilometre_walk","Kilometre Walk","biomes","task","leather_boots","Travel at least 1000 blocks from the centre of the world in any direction."
"blazeandcave:monsters/enderman_destroyer","Enderman Destroyer","monsters","goal","enderman_spawn_egg","Collect a stack of ender pearls"
"blazeandcave:building/pot_planter","Pot Planter","building","task","flower_pot","Craft and place a flower pot"
"blazeandcave:nether/enders_chest","Ender's Chest","nether","task","ender_chest","Craft an ender chest for some extra inventory space"
"blazeandcave:nether/whole_hog","Whole Hog","nether","task","leather","Get mauled by a Hoglin"
"blazeandcave:building/mangrove_master","Mangrove Master","building","goal","mangrove_propagule","Craft every item made out of mangrove wood"
"blazeandcave:enchanting/like_a_cat","Like a Cat","enchanting","goal","iron_boots","Obtain boots enchanted with Feather Falling"
"blazeandcave:mining/aww_it_broke","Aww it broke!","mining","task","stick","Break your first tool"
"blazeandcave:mining/d_b_copper","D. B. Copper","mining","goal","waxed_weathered_copper_chest","Collect a stack of every oxidizing stage of Copper Chests, including all of their waxed variants"
"blazeandcave:adventure/shady_deals","Shady Deals","adventure","goal","potion","Trade with a Wandering Trader while he is invisible"
"blazeandcave:monsters/melting","Melting","monsters","challenge","sand","Bring a stray to a desert biome and then kill it"
"blazeandcave:monsters/gelatinous_cube","Gelatinous Cube","monsters","task","slime_ball","Kill a slime"
"blazeandcave:weaponry/poseidon_vs_hades","Poseidon vs. Hades","weaponry","challenge","fire_charge","Hunt all types of nether creatures with your trident"
"blazeandcave:redstone/monstrous_music","Monstrous Music","redstone","challenge","piglin_head","Play Note Blocks with each type of mob head above it"
"blazeandcave:farming/a_gluttonous_diet","A Gluttonous Diet","farming","challenge","rabbit_stew","Obtain a full stack of all the foods"
"blazeandcave:building/professor_oak","Professor Oak","building","goal","oak_sapling","Craft every item made out of oak wood"
"blazeandcave:end/why_do_i_hear_boss_music","Why do I hear boss music?","end","goal","music_disc_mall","Play a Music Disc while fighting the Ender Dragon"
"blazeandcave:bacap/adventure_milestone","Adventure Milestone","bacap","goal","map","Complete every advancement in the Adventure tab"
"blazeandcave:animal/so_hungry_i_could_eat_a_horse","So Hungry I Could Eat a Horse!","animal","goal","hay_block","Feed a Horse every type of food that it can eat"
"blazeandcave:statistics/marathon","Marathon","statistics","goal","grass_block","Sprint 42.195km"
"blazeandcave:biomes/echolocation","Echolocation","biomes","task","cod","Feed a dolphin fish to have it lead you to treasure"
"blazeandcave:biomes/in_a_pickle","In a Pickle","biomes","task","sea_pickle","Collect some sea pickles from a coral reef"
"blazeandcave:building/professor_birch","Professor Birch","building","goal","birch_sapling","Craft every item made out of birch wood"
"blazeandcave:animal/thanks_a_lotl","Thanks a lotl","animal","goal","prismarine_shard","Team up with an Axolotl in an Ocean Monument to help clear the curse of the Elders"
"blazeandcave:biomes/equiangular_spiral","Equiangular Spiral","biomes","task","nautilus_shell","Tame a Nautilus using Pufferfish"
"blazeandcave:monsters/maximum_resistance","Maximum Resistance","monsters","challenge","netherite_chestplate","Take a hit from the Warden with the maximum possible protection"
"blazeandcave:bacap/potion_milestone","Potions Milestone","bacap","goal","potion","Complete every advancement in the Potions tab"
"blazeandcave:monsters/sands_the_skeleton","Sands the Skeleton","monsters","task","sand","Kill a Parched. Be careful around weakness arrows!"
"blazeandcave:weaponry/the_aquatic_hunter","The Aquatic Hunter","weaponry","challenge","prismarine_shard","Hunt all types of aquatic creatures with your trident"
"blazeandcave:building/blackstonehenge","Blackstonehenge","building","task","polished_blackstone_bricks","Craft or collect all forms of Blackstone, Polished Blackstone and Polished Blackstone Bricks"
"blazeandcave:adventure/core_keeper","Core Keeper","adventure","challenge","heavy_core","Obtain a stack of Heavy Cores"
"blazeandcave:mining/strike_a_light","Strike a Light","mining","task","flint_and_steel","Craft Flint and Steel and use it to light the ground on fire"
"blazeandcave:mining/deep_slate_nine","Deep Slate Nine","mining","task","deepslate","Mine deep enough that the stone darkens"
"blazeandcave:nether/from_whence_it_came","From Whence It Came!","nether","task","obsidian","Find a broken Nether Portal in the Nether"
"blazeandcave:adventure/house_of_psychos","House of Psychos","adventure","task","dark_oak_door","Find a Woodland Mansion"
"minecraft:adventure/trim_with_all_exclusive_armor_patterns","Smithing With Style","adventure","challenge","spire_armor_trim_smithing_template","Apply every type of armor trim at least once"
"blazeandcave:monsters/slime_squisher","Slime Squisher","monsters","goal","slime_spawn_egg","Collect a stack of slimeballs"
"blazeandcave:redstone/the_incredible_sculk","The Incredible Sculk","redstone","goal","sculk_vein","Collect a stack of all sculk-related blocks"
"blazeandcave:adventure/monumental","Monumental","adventure","task","prismarine","Find an Ocean Monument"
"blazeandcave:adventure/village_settler","Village Settler","adventure","task","bell","Trade for a new bell to establish a new village"
"blazeandcave:nether/nugget_in_a_biscuit","Nugget in a Biscuit","nether","task","nether_gold_ore","Mine Nether Gold Ore for a pile of gold nuggets"
"blazeandcave:mining/weve_broken_our_last_shovel","We've broken our last shovel","mining","challenge","golden_shovel","Break every kind of shovel"
"blazeandcave:monsters/trick_or_treat","Trick or Treat!","monsters","goal","carved_pumpkin","Defeat a mob wearing a pumpkin"
"blazeandcave:animal/live_and_let_dye","Live and Let Dye","animal","goal","pink_dye","Dye Sheep with all 16 colors of wool"
"blazeandcave:building/built_on_sand_set_in_stone","Built on Sand, Set in Stone","building","goal","smooth_red_sandstone_stairs","Craft or collect a stack of all forms of Sandstone and Red Sandstone"
"blazeandcave:animal/blackberry_market","Blackberry Market","animal","goal","emerald","Trade some sweet berries to a Fox with an emerald in their mouth"
"blazeandcave:biomes/root","Biomes","biomes","task","birch_sapling","All around the world!"
"blazeandcave:farming/die_potato","Die, Potato!","farming","task","potato","Squash and eat a potato"
"blazeandcave:potion/stayin_frosty","Stayin' Frosty","potion","task","magma_cream","Swim in lava while having the Fire Resistance effect"
"blazeandcave:weaponry/bombs_away","Bombs Away!","weaponry","task","tnt","Use gunpowder and sand to craft TNT"
"blazeandcave:weaponry/demolitions_expert","Demolitions Expert","weaponry","challenge","fire_charge","Blow up every hostile mob with TNT"
"blazeandcave:biomes/smooth_operator","Smooth Operator","biomes","task","ice","Slip and slide on some ice"
"blazeandcave:building/colors_of_the_wind","Colors of the Wind","building","goal","yellow_dye","Dye a sign with each color of dye"
"blazeandcave:adventure/riot_shield","Riot Shield","adventure","task","shield","Deflect a Pillager's crossbow bolt"
"blazeandcave:weaponry/rock_paper_shears","Rock, Paper, Shears!","weaponry","task","shears","Beat a zombie at rock, paper, shears"
"blazeandcave:animal/master_angler","Master Angler","animal","goal","pufferfish","Collect a stack of all four types of fish"
"blazeandcave:mining/iron_man","Iron Man","mining","goal","iron_helmet","Wear a full suit of iron armor"
"blazeandcave:enchanting/master_miner","Master Miner","enchanting","challenge","diamond_pickaxe","Create a pickaxe with all possible enchantments at max level"
"blazeandcave:adventure/professional","Professional","adventure","goal","loom","Trade with a villager at master level"
"minecraft:adventure/totem_of_undying","Postmortal","adventure","goal","totem_of_undying","Use a Totem of Undying to cheat death"
"blazeandcave:nether/spreading_corruption","Spreading Corruption","nether","challenge","basalt","Place one of every nether block in the overworld"
"minecraft:adventure/walk_on_powder_snow_with_leather_boots","Light as a Rabbit","adventure","task","leather_boots","Walk on Powder Snow… without sinking in it"
"blazeandcave:end/sky_high","Sky High","end","goal","feather","Fly up beyond the world height limit"
"blazeandcave:mining/dont_come_a_copper","Donâ€™t Come a Copper!","mining","task","cut_copper","Craft some Cut Copper"
"blazeandcave:end/youre_doing_it_wrong","You're doing it wrong","end","goal","mace","Kill a mob with a Mace while levitating upwards"
"blazeandcave:mining/pixel_perfect","Pixel Perfect","mining","challenge","structure_void","Use a Spyglass to stare at a bat from at least 50 blocks away"
"blazeandcave:challenges/stockbroker","Stockbroker","challenges","challenge","lectern","Trade with every profession from every biome type"
"blazeandcave:statistics/big_blimp_enthusiast","Big Blimp Enthusiast","statistics","challenge","red_harness","Ride 10km on a Happy Ghast"
"blazeandcave:potion/medic","Medic!","potion","task","glistering_melon_slice","Brew a healing potion"
"blazeandcave:statistics/sailor_of_the_seven_seas","Sailor of the Seven Seas","statistics","challenge","dark_oak_boat","Sail 50km in a boat"
"blazeandcave:mining/the_way_to_spawn","The way to spawn","mining","task","compass","Craft a compass in case you forgot where spawn is"
"blazeandcave:weaponry/king_of_the_sea","King of the Sea","weaponry","challenge","water_bucket","Kill a drowned using a trident from at least 30 metres"
"blazeandcave:building/deepslate_conspiracy","Deepslate Conspiracy","building","task","deepslate_tiles","Craft all forms of Deepslate, Polished Deepslate, Deepslate Bricks and Deepslate Tiles"
"blazeandcave:monsters/spider_skeleton","Spider-skeleton","monsters","goal","cobweb","Does whatever a spider can"
"blazeandcave:nether/time_to_upgrade","Time to Upgrade!","nether","goal","netherite_upgrade_smithing_template","Find a Netherite Upgrade Smithing Template in a Bastion Remnant"
"blazeandcave:animal/loud_and_proud","Loud and Proud","animal","goal","sculk_sensor","Play a Goat Horn in the Deep Dark"
"blazeandcave:building/fake_stronghold","Fake stronghold","building","task","cracked_stone_bricks","Craft or collect all forms of normal, cracked, mossy and chiseled stone bricks"
"minecraft:husbandry/uh_oh","Uh Oh","husbandry","task","tnt","Have a Sulfur Cube absorb a TNT block"
"blazeandcave:animal/are_we_there_yet","Are we there yet?","animal","task","chest","Tame a donkey"
"blazeandcave:monsters/baby_baby_baby_noo","Baby, baby, baby noo!!","monsters","goal","lever","Kill one of each of a baby zombie, zombie villager, husk, drowned and zombie pigman"
"blazeandcave:animal/heavy_duty_caravan","Heavy Duty Caravan","animal","challenge","potion","Tame a llama with a strength of 5"
"minecraft:adventure/crafters_crafting_crafters","Crafters Crafting Crafters","adventure","goal","crafting_table","Be near a Crafter when it crafts a Crafter"
"blazeandcave:biomes/sleep_with_the_fishes","Sleep with the Fishes","biomes","challenge","drowned_spawn_egg","Spend a day underwater"
"blazeandcave:mining/this_is_mine_now","This is Mine Now!","mining","task","oak_fence","Find an abandoned mineshaft that was not dug out by you"
"blazeandcave:statistics/jumping_jacks","Jumping Jacks","statistics","challenge","cyan_carpet","Jump 100,000 times"
"blazeandcave:building/no_banner_only_color","No Banner, Only Color!","building","goal","magenta_banner","Craft all 16 banner colors"
"minecraft:adventure/heart_transplanter","Heart Transplanter","adventure","task","creaking_heart","Place a Creaking Heart with the correct alignment between two Pale Oak Log blocks"
"blazeandcave:mining/where_are_all_your_clothes","Where are all your clothes?","mining","challenge","chainmail_leggings","Break every type of armor piece in the game"
"blazeandcave:monsters/hell_hunter","Hell Hunter","monsters","goal","blaze_rod","Defeat all kinds of Nether mobs"
"blazeandcave:adventure/retro_future_knight","Retro Future Knight","adventure","goal","chainmail_helmet","Trade for full suit of chain armor from an armorer villager"
"blazeandcave:adventure/from_under_your_feet","From Under Your Feet","adventure","task","oxidized_copper_trapdoor","Throw a Wind Charge at a mob that is standing on top of a trapdoor"
"blazeandcave:building/concrete_evidence","Concrete Evidence","building","task","light_blue_concrete","Create concrete from concrete powder by dropping it into water"
"blazeandcave:farming/ultra_hardcore","Ultra Hardcore","farming","task","golden_apple","Craft and eat a normal golden apple"
"blazeandcave:building/the_terracotta_army","The Terracotta Army","building","goal","magenta_terracotta","Craft all 16 colors of terracotta (stained clay)"
"blazeandcave:enchanting/silent_but_deadly","Silent But Deadly","enchanting","challenge","diamond_leggings","Sneak and sprint on sculk with Speed II while wearing Swift Sneak III leggings. Try saying that six times swiftly"
"blazeandcave:animal/lead_the_way","Lead the Way!","animal","task","lead","Craft a Lead using String, then attach it to a mob"
"blazeandcave:weaponry/inspector_gadget","Inspector Gadget","weaponry","task","spyglass","Kill a zombie while holding a spyglass"
"blazeandcave:adventure/i_am_ravager_hear_me_roar","I am Ravager, hear me ROAR!","adventure","task","shield","Have a Ravager slam into your shield"
"blazeandcave:biomes/pretty_in_pink","Pretty in Pink","biomes","task","cherry_leaves","Find a Cherry Grove"
"blazeandcave:challenges/a_million_blocks_away","A Million Blocks Away","challenges","challenge","elytra","Travel a million blocks away from spawn"
"blazeandcave:redstone/mobile_explosion","Mobile Explosion","redstone","task","tnt_minecart","Put TNT in a minecart"
"blazeandcave:bacap/mining_milestone","Mining Milestone","bacap","goal","cobblestone","Complete every advancement in the Mining tab"
"blazeandcave:nether/midport_village","Midport Village","nether","task","brown_harness","Ride a Happy Ghast into a village"
"blazeandcave:mining/gold_miner","Gold Miner","mining","goal","raw_gold","Mine a stack of Raw Gold"
"blazeandcave:weaponry/when_pigs_finally_fly","When Pigs Finally Fly","weaponry","challenge","player_head","Pull a pig from 25 blocks below you and watch it go"
"minecraft:end/elytra","Sky's the Limit","end","goal","elytra","Find an Elytra"
"blazeandcave:adventure/your_daily_fix","Your Daily Fix","adventure","task","iron_ingot","Use an Iron Ingot to repair a damaged Iron Golem"
"blazeandcave:animal/chick_buffet","Chick Buffet","animal","goal","chicken","Unite all Chicken variants in one place"
"blazeandcave:animal/beeloons","Beeloons!","animal","task","honeycomb","Attach a lead to a bee"
"blazeandcave:building/happy_birthday","Happy Birthday!","building","task","cake","Place a candle on a cake"
"blazeandcave:challenges/all_the_items","All the Items!","challenges","challenge","glowstone_dust","Obtain all the items!"
"blazeandcave:animal/fountain_of_youth","Fountain of Youth","animal","challenge","golden_dandelion","Use a Golden Dandelion on every baby mob"
"blazeandcave:enchanting/master_knight","Master Knight","enchanting","challenge","diamond_sword","Create a sword with all possible enchantments at max level"
"blazeandcave:biomes/x_marks_the_spot","X Marks the Spot","biomes","goal","filled_map","Use a treasure map to find Buried Treasure"
"blazeandcave:challenges/overwarden","Overwarden","challenges","challenge","player_head","Have fifty Wardens present within 100 blocks of you"
"blazeandcave:mining/mitosis","Mitosis","mining","task","sulfur_cube_spawn_egg","Slice a Sulfur Cube in two"
"blazeandcave:building/stationary_storage","Stationary Storage","building","task","chest","Craft and place down a chest for storing your items"
"blazeandcave:biomes/welcome_to_neverland","Welcome to Neverland","biomes","task","golden_dandelion","Use a Golden Dandelion to stop a baby from growing up"
"blazeandcave:animal/axolittle","Axolittle","animal","task","axolotl_spawn_egg","Breed two Axolotls together using Tropical Fish"
"blazeandcave:adventure/oh_look_it_dings","Oh, look, it dings!","adventure","task","bell","Ring a bell in a village"
"blazeandcave:statistics/root","Statistics","statistics","task","writable_book","If your numbers go up, you're having more fun"
"blazeandcave:adventure/witchcraft","Witchcraft","adventure","task","cauldron","Find a witch hut in a swamp"
"blazeandcave:potion/string_shot","String Shot","potion","task","tipped_arrow","Shoot a mob with an Arrow of Weaving"
"blazeandcave:nether/the_tribal_snouts","The Tribal Snouts","nether","task","gold_nugget","Kill a zombie pigman"
"blazeandcave:mining/stabcraft","Stabcraft","mining","task","diamond_sword","Do you like my sword sword"
"blazeandcave:adventure/a_chiptune_relic","A Chiptune Relic","adventure","goal","music_disc_relic","Excavate an ancient record from within the Trail Ruins"
"blazeandcave:adventure/dry_spell","Dry Spell","adventure","task","wet_sponge","Dry a sponge in a furnace"
"blazeandcave:adventure/businessman","Businessman","adventure","goal","fletching_table","Trade with every type of villager career"
"blazeandcave:farming/certified_spud_chomper","Certified Spud Chomper","farming","challenge","player_head","Eat 100 Poisonous Potatoes"
"blazeandcave:adventure/tricky_treasures","Tricky Treasures","adventure","goal","music_disc_creator","Collect every kind of treasure item that can only be found in Trial Chambers"
"blazeandcave:mining/echonomy","Echonomy","mining","challenge","echo_shard","Collect a stack of Echo Shards"
"blazeandcave:weaponry/impiled","Impiled","weaponry","challenge","diamond_spear","Hit fifty mobs in the same charge attack using a Spear"
"blazeandcave:mining/iggy","Iggy","mining","task","flowering_azalea","Obtain an Azalea"
